"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Zürcher Strassenverkehrsunfälle 1926 bis 1930",1931,8,"Unfallzeiten und Unfallstellen nach Tageszeiten in der Stadt Zürich 1926 bis 1930","Unfälle, Verkehr",17,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Zuercher-Strassenverkehrsunfaelle-1926-bis-1930.pdf"
"Bevölkerung der Zürcher Vororte im Laufe der Jahrhunderte",1931,8,"Bevölkerung der Altstadt und der Vororte Zürichs 1467 bis 1930","Bevölkerung, Vororte, Bevölkerungsstand, Bevölkerungsgliederung",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Bevoelkerung-der-Zuercher-Vororte-im-Laufe-der-Jahrhunderte.pdf"
"Die obligatorische Krankenpflegeversicherung Zürich im Jahre 1930",1931,8,"Mitgliederbewegungen, öffentliche Leistungen und Mitgliederbeiträge der Krankenkassen der Stadt Zürich 1930","Bevölkerung, Versicherungspflicht, Krankenkasse",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Die-obligatorische-Krankenpflegeversicherung-Zuerich-im-Jahre-1930.pdf"
"Industrie und Handwerk in Zürich",1931,8,"Fabrik und Handwerk, Beschäftigte nach Betriebsgruppen in der Stadt Zürich 1905 bis 1929","Bevölkerung, Betriebe, Arbeitsmarkt",26,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Industrie-und-Handwerk-in-Zuerich.pdf"
"Konfessionsgliederung der Bevölkerung Zürichs",1931,8,"Bevölkerung überhaupt nach Konfession, Heimat und Geschlecht, Konfessionelle Mischung in der Stadt Zürich 1850 bis 1930","Bevölkerung, Geschlecht, Konfession, Heimat, Bevölkerungsstand, Bevölkerungsgliederung",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Konfessionsgliederung-der-Bevoelkerung-Zuerichs.pdf"
"Nationalratswahl 1931 in Zürich und Vororten",1931,8,"Übersicht über Wahlberechtigte in der Stadt Zürich und ihre Wähler, Parteistärke der Nationalratswahl 1931","Bevölkerung, Wahlen, Politik, Nationalratswahlen",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Nationalratswahl-1931-in-Zuerich-und-Vororten.pdf"
"Gemeinnütziger Wohnungsbau und städtische Finanzen",1931,8,"Kommunaler Wohnungsbau, Anlagekosten und Subventionen der Stadt Zürcher Wohnkolonien 1931","Wohnbautätigkeit, Preise, Mieten, Gebäude, Wohnungen, Finanzen",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Gemeinnuetziger-Wohnungsbau-und-staedtische-Finanzen.pdf"
"Zürcher Bau- und Wohnungsmarkt 1931/32",1931,8,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1931/32","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Zuercher-Bau--und-Wohnungsmarkt-1931-32.pdf"
"Wohnungsbestand der Stadt Zürich",1931,8,"Überblick über den Wohnungsbestand der Stadt Zürich nach Zimmerzahl und Quartieren 1930","Bauen, Wohnen, Quartiere, Wohnungen, Gebäude, Mietpreise",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Wohnungsbestand-der-Stadt-Zuerich.pdf"
"Das Verkehrsgewerbe in Zürich",1931,8,"Überblick der einzelnen Verkehrszweige, Schweizerische Bundesbahn, Postverkehr, städtische Strassenbahn, Betriebe und Beschäftigte der Stadt Zürich 1905 und 1929","Verkehr, Beschäftigte",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1931/1931_ZSN_Das-Verkehrsgewerbe-in-Zuerich.pdf"
