"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Die Gemeindewahlen vom 6. März 1966",1966,43,"Übersicht über die Wahlresultate und der Wahlbeteiligung der Gemeinde- und Stadtratswahlen in Zürich 1966","Politik, Stadtratswahlen, Ständeratswahlen, Wahlen, Gemeinderatswahlen, Parteistärke, Parteizugehörige",39,"https://statistik.stadt-zuerich.ch/modules/StatNat/1966/1966_ZSN_Die-Gemeindewahlen-vom-6-Maerz-1966.pdf"
"Vierteljahres-Überblick",1966,43,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1966","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",164,"https://statistik.stadt-zuerich.ch/modules/StatNat/1966/1966_ZSN_Vierteljahres-Ueberblick.pdf"
"Arbeitsstätten und Beschäftigte in der Stadt Zürich",1967,44,"Ergebnisse der Eidgenössischen Betriebszählung vom September 1965, Arbeitsstätten und Beschäftigte nach Wirtschaftsgruppen und Stadtquartieren 1965","Wirtschaft, Beschäftigte, Betriebe",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1967/1967_ZSN_Arbeitsstaetten-und-Beschaeftigte-in-der-Stadt-Zuerich.pdf"
"Die Stimmbeteiligung der Frauen bei kirchlichen Abstimmungen und Wahlen in der Stadt Zürich 1967",1967,44,"Beteiligung der Frauen und Männer nach Konfessionen und Stadtkreisen an den kirchlichen Urnengängen 1967","Konfession, Religion, Stadtkreise, Geschlecht, Gleichstellung, Abstimmungen",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1967/1967_ZSN_Die-Stimmbeteiligung-der-Frauen-bei-kirchlichen-Abstimmungen-und-Wahlen-in-der-Stadt-Zuerich-1967.pdf"
"Frauenarbeit in Beruf und Haushalt - 1. Teil",1967,44,"Entwicklung der Frauenarbeit in der Schweiz nach Alter, Zivilstand, Erwerbsgruppen 1960","Wirtschaft, Beschäftigte, Gleichstellung, Frauenarbeit",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1967/1967_ZSN_Frauenarbeit-in-Beruf-und-Haushalt-1-Teil.pdf"
"Frauenarbeit in Beruf und Haushalt - 2. Teil",1967,44,"Entwicklung der Frauenarbeit in der Schweiz nach Erwerbsklassen, Herkunft, Ausbildung etc. 1960","Wirtschaft, Beschäftigte, Gleichstellung, Frauenarbeit",43,"https://statistik.stadt-zuerich.ch/modules/StatNat/1967/1967_ZSN_Frauenarbeit-in-Beruf-und-Haushalt-2-Teil.pdf"
"Vierteljahres-Überblick",1967,44,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1967","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",171,"https://statistik.stadt-zuerich.ch/modules/StatNat/1967/1967_ZSN_Vierteljahres-Ueberblick.pdf"
"Fremdenverkehr in der Stadt Zürich und Umgebung 1967",1968,45,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich und anderen Schweizer Grossstädten 1967","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1968/1968_ZSN_Fremdenverkehr-in-der-Stadt-Zuerich-und-Umgebung-1967.pdf"
"Frauenarbeit in Beruf und Haushalt - 3. Teil",1968,45,"Entwicklung der Frauenarbeit in der Stadt Zürich nach Alter, Zivilstand, Erwerbsgruppen, Erwerbsklassen, Herkunft, Ausbildung etc. 1960","Wirtschaft, Beschäftigte, Gleichstellung, Frauenarbeit",44,"https://statistik.stadt-zuerich.ch/modules/StatNat/1968/1968_ZSN_Frauenarbeit-in-Beruf-und-Haushalt-3-Teil.pdf"
"Nachlassende Teuerung in der Stadt Zürich",1968,45,"Durchschnittliche Preisentwicklung nach Monaten für Konsumgüter und Dienstleistungen sowie Mieten für Arbeiter- und Angestelltenfamilien 1968","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1968/1968_ZSN_Nachlassende-Teuerung-in-der-Stadt-Zuerich.pdf"
"Zürichs Bevölkerung im Jahre 1968",1968,45,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Stadt und in den Stadtquartieren vom 1931 bis 1968","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1968/1968_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1968.pdf"
"Vierteljahres-Überblick",1968,45,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1968","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",174,"https://statistik.stadt-zuerich.ch/modules/StatNat/1968/1968_ZSN_Vierteljahres-Ueberblick.pdf"
"Tagesfrequenzen im Zürcher Fremdenverkehr 1967",1969,46,"Durchschnittliche tägliche Zahlen der Übernachtungen in Beherbergungsbetrieben in der Stadt Zürich 1967","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",28,"https://statistik.stadt-zuerich.ch/modules/StatNat/1969/1969_ZSN_Tagesfrequenzen-im-Zuercher-Fremdenverkehr-1967.pdf"
"Die häufigsten Vornamen der 1951 bis 1968 geborenen Kinder in der Stadt Zürich",1969,46,"Die häufigsten Vornamen der 1951 bis 1968 geborenen Kinder in der Stadt Zürich insgesamt und nach Heimatsgruppen 1968","Vornamen, Bevölkerungsbewegung",27,"https://statistik.stadt-zuerich.ch/modules/StatNat/1969/1969_ZSN_Die-haeufigsten-Vornamen-der-1951-bis-1968-geborenen-Kinder-in-der-Stadt-Zuerich.pdf"
"Die Beteiligung der Frauen bei der Abstimmung vom 2. November 1969",1969,46,"Stimmberechtige und Stimmbeteiligung an der Abstimmung vom 2. November 1969 nach Geschlecht und Stadtkreisen 1969","Stadtkreise, Geschlecht, Gleichstellung, Abstimmungen, Stimmbeteiligung, Stimmberechtigte",3,"https://statistik.stadt-zuerich.ch/modules/StatNat/1969/1969_ZSN_Die-Beteiligung-der-Frauen-bei-der-Abstimmung-vom-2-November-1969.pdf"
"Messung und Entwicklung der Teuerung in der Stadt Zürich 1. Teil",1969,46,"Erhebungsmethoden und Ergebnisse der Zürcher Statistik der Konsumentenpreise seit der Indexrevision 1966, erster Teil 1966 bis 1970","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten",67,"https://statistik.stadt-zuerich.ch/modules/StatNat/1969/1969_ZSN_Messung-und-Entwicklung-der-Teuerung-in-der-Stadt-Zuerich-1-Teil.pdf"
"Die Beteiligung der Männer und Frauen bei den Gemeindewahlen vom 8. März 1970",1969,46,"Wahlberechtige und Wahlbeteiligung bei den Gemeindewahlen von 8. März 1970 nach Geschlecht und Stadtkreisen 1969","Stadtkreise, Geschlecht, Gleichstellung, Abstimmungen, Stimmbeteiligung, Stimmberechtigte",2,"https://statistik.stadt-zuerich.ch/modules/StatNat/1969/1969_ZSN_Die-Beteiligung-der-Maenner-und-Frauen-bei-den-Gemeindewahlen-vom-8-Maerz-1970.pdf"
"Der Zürcher Baukostenindex in neuer Gliederung",1969,46,"Halbjährliche Entwicklung der Baukosten, Index für die einzelnen Arbeitsgattungen in der Stadt Zürich 1966 bis 1970","Wohnbaupreise, Indexreihen, Preise , Baukosten",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1969/1969_ZSN_Der-Zuercher-Baukostenindex-in-neuer-Gliederung.pdf"
"Vierteljahres-Überblick",1969,46,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1968","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",178,"https://statistik.stadt-zuerich.ch/modules/StatNat/1969/1969_ZSN_Vierteljahres-Ueberblick.pdf"
"Städtestatistik und zentrale Datenverarbeitung",1970,47,"Ergebnisse einer Umfrage zur zentralen Datenverarbeitung bei ausgewählten europäischen Stadten 1970","Elektronik, IT",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1970/1970_ZSN_Staedtestatistik-und-zentrale-Datenverarbeitung.pdf"
"Messung und Entwicklung der Teuerung in der Stadt Zürich 2. Teil",1970,47,"Erhebungsmethoden und Ergebnisse der Zürcher Statistik der Konsumentenpreise seit der Indexrevision 1966, zweiter Teil 1966 bis 1970","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten",86,"https://statistik.stadt-zuerich.ch/modules/StatNat/1970/1970_ZSN_Messung-und-Entwicklung-der-Teuerung-in-der-Stadt-Zuerich-2-Teil.pdf"
"Die Gemeindewahlen vom 8. März 1970",1970,47,"Übersicht über die Wahlresultate und der Wahlbeteiligung der Gemeinde- und Stadtratswahlen in Zürich 1970","Politik, Stadtratswahlen, Wahlen, Gemeinderatswahlen, Parteistärke, Parteizugehörige",37,"https://statistik.stadt-zuerich.ch/modules/StatNat/1970/1970_ZSN_Die-Gemeindewahlen-vom-8-Maerz-1970.pdf"
"Hauptergebnisse der Volkszählung 1970 in der Stadt Zürich",1970,47,"Ergebnisse der Volkszählungen nach Stadtkreisen und in der Agglomeration 1970","Bevölkerung, Volkszählung,Bevölkerungsstand, Bevölkerungsgliederung",15,"https://statistik.stadt-zuerich.ch/modules/StatNat/1970/1970_ZSN_Hauptergebnisse-der-Volkszaehlung-1970-in-der-Stadt-Zuerich.pdf"
"Vierteljahres-Überblick",1970,47,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1970","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",181,"https://statistik.stadt-zuerich.ch/modules/StatNat/1970/1970_ZSN_Vierteljahres-Ueberblick.pdf"
"Zürcher Fremdenverkehr im Jahre 1970",1971,48,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich und in der touristischen Agglomeration 1970","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",20,"https://statistik.stadt-zuerich.ch/modules/StatNat/1971/1971_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1970.pdf"
"Die Nichtwähler bei den Gemeinderatswahlen 1970 (1. Teil)",1971,48,"Die Nichtwähler bei den Gemeinderatswahlen nach Alter, Geschlecht, Zivilstand, Konfession, Sozialgruppen, Heimat 1970","Gemeinderatswahlen, Stadtratswahlen, Wahlen, Politik, Wahlbeteiligung",27,"https://statistik.stadt-zuerich.ch/modules/StatNat/1971/1971_ZSN_Die-Nichtwaehler-bei-den-Gemeinderatswahlen-1970-1-Teil.pdf"
"Die Nichtwähler bei den Gemeinderatswahlen 1970 (2. Teil)",1971,48,"Die Nichtwähler bei den Gemeinderatswahlen nach Beruf, Stadtkreise, Stadtquartiere 1970","Gemeinderatswahlen, Stadtratswahlen, Wahlen, Politik, Wahlbeteiligung",29,"https://statistik.stadt-zuerich.ch/modules/StatNat/1971/1971_ZSN_Die-Nichtwaehler-bei-den-Gemeinderatswahlen-1970-2-Teil.pdf"
"Entwicklung der Zürcher Konsumentenpreise im Jahre 1971",1971,48,"Durchschnittliche Preisentwicklung von Konsumgüter und Dienstleistungen 1971","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten",19,"https://statistik.stadt-zuerich.ch/modules/StatNat/1971/1971_ZSN_Entwicklung-der-Zuercher-Konsumentenpreise-im-Jahre-1971.pdf"
"Die Bevölkerungsstruktur in der Stadt Zürich nach der Volkszählung",1971,48,"Die Bevölkerungsentwicklung gemäss der Volkszählungen nach Geschlecht, Alter, Zivilstand, Heimat, Muttersprache, Konfession, Beruf etc. 1930 bis 1970","Bevölkerung, Bevölkerungsbestand, Bevölkerungsentwicklung, Bevölkerungspyramide, Volkszählung, Bevölkerungsstand, Bevölkerungsgliederung",27,"https://statistik.stadt-zuerich.ch/modules/StatNat/1971/1971_ZSN_Die-Bevoelkerungsstruktur-in-der-Stadt-Zuerich-nach-der-Volkszaehlung.pdf"
"Vierteljahres-Überblick",1971,48,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1971","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",194,"https://statistik.stadt-zuerich.ch/modules/StatNat/1971/1971_ZSN_Vierteljahres-Ueberblick.pdf"
"Lebenshaltung der Altersbeihilfebezüger in der Stadt Zürich",1972,49,"Berechnungsmethode und Ergebnisse des Zürcher Lebenshaltungsindex für Betagte 1966 bis 1971","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Betagte, Rentner",30,"https://statistik.stadt-zuerich.ch/modules/StatNat/1972/1972_ZSN_Lebenshaltung-der-Altersbeihilfebezueger-in-der-Stadt-Zuerich.pdf"
"Die Bevölkerung Zürichs im Lichte der Volkszählung 1970 (1. Teil)",1972,49,"Detaillierte Analysen mit methodischen Erläuterungen zur Bevölkerungstruktur Zürichs im Lichte der Volkszählung, erster Teil 1970","Bevölkerung, Bevölkerungsbestand, Bevölkerungsentwicklung, Bevölkerungspyramide, Volkszählung, Bevölkerungsstand, Bevölkerungsgliederung",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1972/1972_ZSN_Die-Bevoelkerung-Zuerichs-im-Lichte-der-Volkszaehlung-1970-1-Teil.pdf"
"Die Bevölkerung Zürichs im Lichte der Volkszählung 1970 (2. Teil)",1972,49,"Detaillierte Analysen mit methodischen Erläuterungen zur Bevölkerungstruktur Zürichs im Lichte der Volkszählung, zweiter Teil 1970","Bevölkerung, Bevölkerungsbestand, Bevölkerungsentwicklung, Bevölkerungspyramide, Volkszählung, Bevölkerungsstand, Bevölkerungsgliederung",36,"https://statistik.stadt-zuerich.ch/modules/StatNat/1972/1972_ZSN_Die-Bevoelkerung-Zuerichs-im-Lichte-der-Volkszaehlung-1970-2-Teil.pdf"
"Zürichs Bevölkerung im Jahre 1972",1972,49,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Agglomeration Zürich vom 1972","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",32,"https://statistik.stadt-zuerich.ch/modules/StatNat/1972/1972_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1972.pdf"
"Wohnungsbau in der Stadt Zürich und in der Agglomeration Zürich 1972",1972,49,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1972","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1972/1972_ZSN_Wohnungsbau-in-der-Stadt-Zuerich-und-in-der-Agglomeration-Zuerich-1972.pdf"
"Zürcher Fremdenverkehr im Jahre 1972",1972,49,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1972","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1972/1972_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1972.pdf"
"Vierteljahres-Überblick",1972,49,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1972","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",193,"https://statistik.stadt-zuerich.ch/modules/StatNat/1972/1972_ZSN_Vierteljahres-Ueberblick.pdf"
"Strassenverkehrsunfälle in der Stadt Zürich im Jahre 1972",1973,50,"Strassenverkehrsunfälle nach Unfallursachen, Unfallart, Unfallstelle, Strassenart, Alter, Fahrzeugarten, Unfallzeit etc. 1972","Auto, Verkehr, Unfälle",18,"https://statistik.stadt-zuerich.ch/modules/StatNat/1973/1973_ZSN_Strassenverkehrsunfaelle-in-der-Stadt-Zuerich-im-Jahre-1972.pdf"
"Gebäude- und Wohnungsbestand in der Stadt Zürich 1970",1973,50,"Ergebnisse der Gebäude- und Wohnungszählung vom 1. Dezember 1970, Entwicklung des Gebäude- und Wohnungsbestands in Zürich 1970","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Gebäude, Wohnungen",16,"https://statistik.stadt-zuerich.ch/modules/StatNat/1973/1973_ZSN_Gebaeude--und-Wohnungsbestand-in-der-Stadt-Zuerich-1970.pdf"
"Areal, Gebäude und Geschossflächen in der Stadt Zürich 1970 - Grundlage für die Stadtforschung, 1.TeiI",1973,50,"Areal-, Gebäude- und Geschossstatistik mit Angaben über Ausdehnung, Nutzung und Zonenzugehörigkeit von Areal und Gebäuden nach Stadtkreise und Stadtquartiere, erster Teil 1970","Bauen & Wohnen, Bautätigkeit, Gebäude, Stadtquartiere, Stadtkreise, Grundeigentum, Stadtgebiet",35,"https://statistik.stadt-zuerich.ch/modules/StatNat/1973/1973_ZSN_Areal-Gebaeude-und-Geschossflaechen-in-der-Stadt-Zuerich-1970-Grundlage-fuer-die-Stadtforschung-1-Teil.pdf"
"Zürichs Bevölkerung im Jahre 1973",1973,50,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Agglomeration Zürich vom 1973","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1973/1973_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1973.pdf"
"Entwicklung der Zürcher Konsumentenpreise im Jahre 1973",1973,50,"Durchschnittliche Preisentwicklung von Konsumgüter und Dienstleistungen 1973","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1973/1973_ZSN_Entwicklung-der-Zuercher-Konsumentenpreise-im-Jahre-1973.pdf"
"Wohnungsbau in der Stadt und in der Agglomeration Zürich 1973",1973,50,"Entwicklung des Wohnungsbestands in Zürich und Agglomeration 1973","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen, Gebäude",7,"https://statistik.stadt-zuerich.ch/modules/StatNat/1973/1973_ZSN_Wohnungsbau-in-der-Stadt-und-in-der-Agglomeration-Zuerich-1973.pdf"
"Zürcher Fremdenverkehr im Jahre 1973",1973,50,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1973","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",23,"https://statistik.stadt-zuerich.ch/modules/StatNat/1973/1973_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1973.pdf"
"Vierteljahres-Überblick",1973,50,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Arbeitsmarkt, der Kleinhandelspreise, der Konsumentenpreise, dem Neubau, usw. der Stadt Zürich im Überblick 1973","Bevölkerung, Bevölkerungsentwicklung, Umzüge, Arbeitsmarkt, Betriebe, Preise, Handänderungen, Wohnungsmarkt",192,"https://statistik.stadt-zuerich.ch/modules/StatNat/1973/1973_ZSN_Vierteljahres-Ueberblick.pdf"
"Strassenverkehrsunfälle in der Stadt Zürich im Jahre 1973",1974,51,"Strassenverkehrsunfälle nach Unfallursachen, Unfallart, Unfallstelle, Strassenart, Alter, Fahrzeugarten, Unfallzeit etc. 1973","Auto, Verkehr, Unfälle",21,"https://statistik.stadt-zuerich.ch/modules/StatNat/1974/1974_ZSN_Strassenverkehrsunfaelle-in-der-Stadt-Zuerich-im-Jahre-1973.pdf"
"Die Bevölkerung Zürichs im Lichte der Volkszählung 1970 - Die Gliederung nach der Konfession",1974,51,"Die Bevölkerung Zürichs im Lichte der Volkszählung 1970 - Die Gliederung nach der Konfession 1970","Bevölkerung, Bevölkerungsbestand, Bevölkerungsentwicklung, Bevölkerungspyramide, Konfession, Volkszählung",41,"https://statistik.stadt-zuerich.ch/modules/StatNat/1974/1974_ZSN_Die-Bevoelkerung-Zuerichs-im-Lichte-der-Volkszaehlung-1970-Die-Gliederung-nach-der-Konfession.pdf"
"Die Bevölkerung Zürichs im Lichte der Volkszählung 1970 - Die Zusammensetzung nach dem Zivilstand",1974,51,"Die Bevölkerung Zürichs im Lichte der Volkszählung 1970 - Die Zusammensetzung nach dem Zivilstand 1970","Bevölkerung, Bevölkerungsbestand, Bevölkerungsentwicklung, Bevölkerungspyramide, Zivilstand, Volkszählung",37,"https://statistik.stadt-zuerich.ch/modules/StatNat/1974/1974_ZSN_Die-Bevoelkerung-Zuerichs-im-Lichte-der-Volkszaehlung-1970-Die-Zusammensetzung-nach-dem-Zivilstand.pdf"
"Zürichs Bevölkerung im Jahre 1974",1974,51,"Wohnbevölkerung, Bevölkerungsdichte und Bevölkerungsbilanz in der Agglomeration Zürich vom 1974","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Einbürgerung, Wanderungssaldo, Agglomeration, Bevölkerungsstand, Bevölkerungsgliederung",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1974/1974_ZSN_Zuerichs-Bevoelkerung-im-Jahre-1974.pdf"
"Entwicklung der Zürcher Konsumentenpreise im Jahre 1974",1974,51,"Durchschnittliche Preisentwicklung von Konsumgüter und Dienstleistungen 1974","Konsumentenpreise, Preise, Indexreihen, Wirtschaft, Mieten, Inflation",25,"https://statistik.stadt-zuerich.ch/modules/StatNat/1974/1974_ZSN_Entwicklung-der-Zuercher-Konsumentenpreise-im-Jahre-1974.pdf"
"Zürcher Fremdenverkehr im Jahre 1974",1974,51,"Entwicklung und aktuelle Struktur des Fremdenverkehrs in der Stadt Zürich 1974","Tourismus, Aufenthaltsart, , Hotel, Reisen, Übernachtungen",22,"https://statistik.stadt-zuerich.ch/modules/StatNat/1974/1974_ZSN_Zuercher-Fremdenverkehr-im-Jahre-1974.pdf"
