"objectid","id","sensor_eui","zeitpunkt","temperature","humidity","latitude","longitude","noise","sit","geometry"
"1039","1039","0080E115003BC996","20220901231002","17.99","65.38","47.37009200","8.54152020","45","0","POINT (2683300.8 1247168.6)"
"1040","1040","0080E115003BC996","20220901224002","17.99","65.38","47.37009200","8.54152020","45","0","POINT (2683300.8 1247168.6)"
"1089","1089","0080E115003BC996","20220902021513","16.45","72.80","47.37005930","8.54144570","45","0","POINT (2683295.2 1247164.9)"
"1090","1090","0080E115003BC996","20220902014513","16.45","72.80","47.37005930","8.54144570","45","0","POINT (2683295.2 1247164.9)"
"1091","1091","0080E115003BC996","20220902011513","16.45","72.80","47.37005930","8.54144570","45","0","POINT (2683295.2 1247164.9)"
"1092","1092","0080E115003BC996","20220902004513","16.45","72.80","47.37005930","8.54144570","45","0","POINT (2683295.2 1247164.9)"
"1116","1189","0080E115003BC996","20220902062602","14.39","76.32","47.37000260","8.54142840","45","0","POINT (2683294 1247158.5)"
"1117","1190","0080E115003BC996","20220902055602","14.39","76.32","47.37000260","8.54142840","45","0","POINT (2683294 1247158.5)"
"1118","1191","0080E115003BC996","20220902052602","14.39","76.32","47.37000260","8.54142840","45","0","POINT (2683294 1247158.5)"
"1119","1192","0080E115003BC996","20220902045602","14.39","76.32","47.37000260","8.54142840","45","0","POINT (2683294 1247158.5)"
"1376","1449","0080E1150017A139","20220902174233","24.99","49.51","47.37006650","8.54150450","47","0","POINT (2683299.8 1247165.8)"
"1377","1450","0080E1150017A139","20220902171233","24.99","49.51","47.37006650","8.54150450","45","0","POINT (2683299.8 1247165.8)"
"1378","1451","0080E1150017A139","20220902164233","24.99","49.51","47.37006650","8.54150450","45","0","POINT (2683299.8 1247165.8)"
"1379","1452","0080E1150017A139","20220902161233","24.99","49.51","47.37006650","8.54150450","45","0","POINT (2683299.8 1247165.8)"
"2356","2429","0080E1150017A139","20220903144217","24.54","57.97","47.37003230","8.54145070","45","0","POINT (2683295.8 1247161.9)"
"2357","2430","0080E1150017A139","20220903141217","24.54","57.97","47.37003230","8.54145070","45","0","POINT (2683295.8 1247161.9)"
"2358","2431","0080E1150017A139","20220903134217","24.54","57.97","47.37003230","8.54145070","45","0","POINT (2683295.8 1247161.9)"
"2359","2432","0080E1150017A139","20220903131217","24.54","57.97","47.37003230","8.54145070","45","0","POINT (2683295.8 1247161.9)"
"2440","2513","0080E115003BC996","20220903175027","22.90","60.40","47.37004920","8.54142900","46","89","POINT (2683294 1247163.8)"
"2441","2514","0080E115003BC996","20220903172027","22.90","60.40","47.37004920","8.54142900","46","76","POINT (2683294 1247163.8)"
"2442","2515","0080E115003BC996","20220903165027","22.90","60.40","47.37004920","8.54142900","46","60","POINT (2683294 1247163.8)"
"2443","2516","0080E115003BC996","20220903162027","22.90","60.40","47.37004920","8.54142900","45","87","POINT (2683294 1247163.8)"
