Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
2026-01-08T00:00+0100,Zch_Heubeeribüel,NO2,d1,µg/m3,13,provisorisch
2026-01-08T00:00+0100,Zch_Heubeeribüel,NOx,d1,ppb,7.96,provisorisch
2026-01-08T00:00+0100,Zch_Heubeeribüel,O3,d1,µg/m3,58.89,provisorisch
2026-01-08T00:00+0100,Zch_Heubeeribüel,O3_max_h1,d1,µg/m3,72.33,provisorisch
2026-01-08T00:00+0100,Zch_Heubeeribüel,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-08T00:00+0100,Zch_Heubeeribüel,PM10,d1,µg/m3,5.82,provisorisch
2026-01-08T00:00+0100,Zch_Heubeeribüel,PM2.5,d1,µg/m3,4.66,provisorisch
2026-01-08T00:00+0100,Zch_Rosengartenstrasse,NO,d1,µg/m3,21.72,provisorisch
2026-01-08T00:00+0100,Zch_Rosengartenstrasse,NO2,d1,µg/m3,38.33,provisorisch
2026-01-08T00:00+0100,Zch_Rosengartenstrasse,NOx,d1,ppb,37.46,provisorisch
2026-01-08T00:00+0100,Zch_Rosengartenstrasse,O3,d1,µg/m3,38.13,provisorisch
2026-01-08T00:00+0100,Zch_Rosengartenstrasse,O3_max_h1,d1,µg/m3,63.28,provisorisch
2026-01-08T00:00+0100,Zch_Rosengartenstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-08T00:00+0100,Zch_Rosengartenstrasse,PM10,d1,µg/m3,11.31,provisorisch
2026-01-08T00:00+0100,Zch_Rosengartenstrasse,PM2.5,d1,µg/m3,7.03,provisorisch
2026-01-08T00:00+0100,Zch_Rosengartenstrasse,PNc,d1,1/cm3,24235.22,provisorisch
2026-01-08T00:00+0100,Zch_Schimmelstrasse,NO,d1,µg/m3,7.08,provisorisch
2026-01-08T00:00+0100,Zch_Schimmelstrasse,NO2,d1,µg/m3,25.31,provisorisch
2026-01-08T00:00+0100,Zch_Schimmelstrasse,NOx,d1,ppb,18.91,provisorisch
2026-01-08T00:00+0100,Zch_Schimmelstrasse,O3,d1,µg/m3,47.54,provisorisch
2026-01-08T00:00+0100,Zch_Schimmelstrasse,O3_max_h1,d1,µg/m3,66.74,provisorisch
2026-01-08T00:00+0100,Zch_Schimmelstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-08T00:00+0100,Zch_Schimmelstrasse,PM10,d1,µg/m3,NA,provisorisch
2026-01-08T00:00+0100,Zch_Schimmelstrasse,PM2.5,d1,µg/m3,NA,provisorisch
2026-01-08T00:00+0100,Zch_Schimmelstrasse,PN,d1,1/cm3,8701.86,provisorisch
2026-01-08T00:00+0100,Zch_Stampfenbachstrasse,NO,d1,µg/m3,3.64,provisorisch
2026-01-08T00:00+0100,Zch_Stampfenbachstrasse,NO2,d1,µg/m3,19.43,provisorisch
