Abstimmungs_Datum,Nr_Politische_Ebene,Name_Politische_Ebene,Abstimmungs_Text,Nr_Resultat_Gebiet,Name_Resultat_Gebiet,Nr_Wahlkreis_StZH,Name_Wahlkreis_StZH,Stimmberechtigt,Ja_Absolut,Nein_Absolut,Stimmbeteiligung_Prozent,Ja_Prozent,Nein_Prozent,Staende_Ja,Staende_Nein
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,6,Kreis 7+8,31842,4010,11801,55.3,25.4,74.6,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,6,Kreis 7+8,31842,7487,9173,56.1,44.9,55.1,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,7,Kreis 9,32043,4099,8659,44.3,32.1,67.9,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,7,Kreis 9,32043,8091,5342,45,60.2,39.8,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,8,Kreis 10,24455,3308,8765,54.3,27.4,72.6,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,8,Kreis 10,24455,7630,5077,55.4,60,40,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,9,Kreis 11,38058,4431,9563,41.1,31.7,68.3,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,9,Kreis 11,38058,7946,6688,41.7,54.3,45.7,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,10,Kreis 12,15464,1753,2971,34.8,37.1,62.9,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,10,Kreis 12,15464,2975,2025,35.5,59.5,40.5,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,,,237157,29856,73206,48.1,29,71,,
11/30/2025,2,Kanton Zürich,"C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale Volksinitiative als auch der Gegenvorschlag des Kantonsrates angenommen werden?",3,Stadt Zürich,,,237157,62432,45774,48.8,57.7,42.3,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",2,Kanton Zürich,,,941331,210133,219357,46.6,48.9,51.1,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",3,Stadt Zürich,2,Kreis 1+2,23372,6843,4668,50.4,59.4,40.6,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",3,Stadt Zürich,3,Kreis 3,27707,9508,4088,50.2,69.9,30.1,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",3,Stadt Zürich,4,Kreis 4+5,24384,8622,3201,49.6,72.9,27.1,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",3,Stadt Zürich,5,Kreis 6,19832,6976,4159,57.6,62.6,37.4,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",3,Stadt Zürich,6,Kreis 7+8,31842,8925,8764,56.9,50.5,49.5,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",3,Stadt Zürich,7,Kreis 9,32043,9358,5058,45.9,64.9,35.1,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",3,Stadt Zürich,8,Kreis 10,24455,8662,4731,56,64.7,35.3,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",3,Stadt Zürich,9,Kreis 11,38058,9732,6062,42.5,61.6,38.4,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",3,Stadt Zürich,10,Kreis 12,15464,3693,1785,36.4,67.4,32.6,,
11/30/2025,2,Kanton Zürich,"Einführungsgesetz zum Krankenversicherungsgesetz (EG KVG) (Änderung vom 7. April 2025; Prämienverbilligung, Bundes- und Kantonsbeitrag)",3,Stadt Zürich,,,237157,72319,42516,49.6,63,37,,
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),2,Kanton Zürich,,,941331,240982,183538,46.6,56.8,43.2,,
11/30/2025,2,Kanton Zürich,Strassengesetz (StrG) (Änderung vom 31. März 2025; Umsetzung der «Mobilitätsinitiative»),3,Stadt Zürich,2,Kreis 1+2,23372,5174,6170,50.3,45.6,54.4,,
